Title,Date
"Trollhunters: Tales of Arcadia: Part 2: Hiss Hiss, Bang Bang","10/21/20"
"Trollhunters: Tales of Arcadia: Part 2: Homecoming","10/21/20"
"Trollhunters: Tales of Arcadia: Part 2: KanjigAAARRRGGHH!!!","10/21/20"
"Trollhunters: Tales of Arcadia: Part 2: Grand Theft Otto","10/20/20"
"Trollhunters: Tales of Arcadia: Part 2: Skullcrusher","10/20/20"
"Trollhunters: Tales of Arcadia: Part 2: Escape from the Darklands","10/20/20"
"Trollhunters: Tales of Arcadia: Part 1: Something Rotten This Way Comes","10/20/20"
"Trollhunters: Tales of Arcadia: Part 1: A Night to Remember","10/19/20"
"The Last Kids on Earth: Book 1: The Last Kids on Earth","10/19/20"
"Bureau of Magical Things: Season 1: A knight to Remember","10/18/20"
"Bureau of Magical Things: Season 1: Gone to the Dogs","10/18/20"
"Bureau of Magical Things: Season 1: All the World's a Stage","10/18/20"
"Bureau of Magical Things: Season 1: Magic in the Air","10/18/20"
"Bureau of Magical Things: Season 1: A Magical Mishap","10/18/20"
"Trollhunters: Tales of Arcadia: Part 1: Angor Management","10/18/20"
"Trollhunters: Tales of Arcadia: Part 1: Wingmen","10/18/20"
"Trollhunters: Tales of Arcadia: Part 1: It's About Time","10/18/20"
"Trollhunters: Tales of Arcadia: Part 1: Party Monster","10/18/20"
"Trollhunters: Tales of Arcadia: Part 1: Where Is My Mind?","10/17/20"
"Trollhunters: Tales of Arcadia: Part 1: Airheads","10/17/20"
"Trollhunters: Tales of Arcadia: Part 1: The Shattered King","10/17/20"
"Trollhunters: Tales of Arcadia: Part 1: Blinky's Day Out","10/16/20"
"Trollhunters: Tales of Arcadia: Part 1: Roaming Fees May Apply","10/16/20"
"Trollhunters: Tales of Arcadia: Part 1: Mudslinging","10/16/20"
"Trollhunters: Tales of Arcadia: Part 1: Return of the Trollhunter","10/16/20"
"Trollhunters: Tales of Arcadia: Part 1: The Battle of Two Bridges","10/16/20"
"Trollhunters: Tales of Arcadia: Part 1: Claire and Present Danger","10/16/20"
"Trollhunters: Tales of Arcadia: Part 1: Recipe for Disaster","10/16/20"
"Trollhunters: Tales of Arcadia: Part 1: Young Atlas","10/16/20"
"Trollhunters: Tales of Arcadia: Part 1: Bittersweet Sixteen","10/16/20"
"Trollhunters: Tales of Arcadia: Part 1: Adventures in Trollsitting","10/16/20"
"Trollhunters: Tales of Arcadia: Part 1: To Catch a Changeling","10/15/20"
"Trollhunters: Tales of Arcadia: Part 1: Win Lose or Draal","10/15/20"
"Trollhunters: Tales of Arcadia: Part 1: Waka Chaka!","10/15/20"
"Trollhunters: Tales of Arcadia: Part 1: Gnome Your Enemy","10/15/20"
"Trollhunters: Tales of Arcadia: Part 1: Wherefore Art Thou, Trollhunter?","10/15/20"
"Trollhunters: Tales of Arcadia: Part 1: Becoming: Part 2","10/15/20"
"Trollhunters: Tales of Arcadia: Part 1: Becoming: Part 1","10/14/20"
"The Good Place: Season 1: Tahani Al-Jamil","10/12/20"
"The Good Place: Season 1: Flying","10/12/20"
"The Good Place: Season 1: Everything Is Fine","10/12/20"
"I Am Not Okay With This: Season 1: Dear Diary...","10/12/20"
"Ginny Weds Sunny","10/11/20"
"Hubie Halloween","10/11/20"
"Sherlock Holmes: A Game of Shadows","10/10/20"
"Wizards: Tales of Arcadia: Season 1: Spellbound","10/9/20"
"Wizards: Tales of Arcadia: Season 1: History in the Making","10/9/20"
"Another Life: Season 1: Across the Universe","10/9/20"
"Kai Po Che!","10/9/20"
"Mortal Kombat","10/8/20"
"Mars: Season 1: Novo Mundo","10/7/20"
"The Thundermans: Season 1: Dinner Party","10/7/20"
"The Thundermans: Season 1: Adventures in Supersitting","10/7/20"
"The Occupant","10/7/20"
"Upgrade","10/7/20"
"The Platform","10/6/20"
"Serious Men","10/6/20"
"Santa Banta Pvt Ltd","10/4/20"
"Teenage Bounty Hunters: Season 1: Daddy's Truck","10/4/20"
"That '70s Show: Season 1: Stolen Car","8/24/20"
"That '70s Show: Season 1: Ski Trip","8/24/20"
"That '70s Show: Season 1: That Disco Episode","8/24/20"
"That '70s Show: Season 1: The Best Christmas Ever","8/23/20"
"That '70s Show: Season 1: Eric's Buddy","8/23/20"
"That '70s Show: Season 1: Sunday, Bloody Sunday","8/23/20"
"That '70s Show: Season 1: Thanksgiving","8/23/20"
"That '70s Show: Season 1: Drive-In","8/23/20"
"That '70s Show: Season 1: The Keg","8/23/20"
"That '70s Show: Season 1: Eric's Burger Job","8/23/20"
